title,date,source,author,category,label
Article together television many whole nothing some hospital.,3/15/2025,CNN,Nicole Richardson,Business,fake
Human continue care add.,6/7/2023,Fox News,,Entertainment,fake
Year pick born determine.,2/13/2023,BBC,Shawn Campbell,Sports,fake
Fight set year decade physical raise employee.,3/13/2025,Reuters,Zachary Sullivan,Entertainment,real
Industry list letter in.,9/23/2022,CNN,Deborah Oliver,Science,real
Around investment seat show game important under example.,5/22/2024,BBC,Lisa Young,Technology,real
Total loss piece family fear remember evening.,5/21/2024,CNN,Charles Warren,Business,fake
Deep administration safe can mind.,9/13/2023,CNN,Donald Burgess,Health,real
Natural idea will yet performance early reduce.,10/2/2022,Global Times,Jonathan Franklin,Sports,real
Likely money big international medical smile someone food.,9/9/2024,Fox News,,Politics,real
Class if student evidence cold evidence moment.,8/29/2023,CNN,Maria Higgins,Technology,fake
Away old town light fill back become.,11/15/2022,,Brian Perez,Politics,fake
Democratic mean parent training century note.,11/3/2023,CNN,Angela Robinson,Sports,fake
Such animal home.,3/31/2024,,Tammy Schneider,Politics,real
But treatment media artist.,7/1/2023,Reuters,Kimberly Hernandez,Business,fake
Dinner board nature western will play pay growth.,8/23/2023,Global Times,Richard Jones III,Politics,real
Of parent positive resource evidence just someone.,8/23/2024,The Guardian,Brandon Thomas,Science,real
Evidence could structure class agree produce film.,7/17/2024,Global Times,Tanya Anderson,Business,real
Close watch respond house protect may week almost.,3/12/2024,The Guardian,Emily Kramer,Technology,real
Information dog actually pick amount.,7/16/2024,Daily News,Derek Johnston,Sports,fake
Hear talk work along.,3/12/2025,BBC,Lee Dalton,Politics,fake
State rest dream trade general.,1/13/2025,Fox News,Ariel Jones,Health,real
Ground a too sea company radio sometimes.,5/9/2023,NY Times,Matthew Davis,Sports,real
Establish carry international music box.,1/16/2023,Global Times,Andrew Ho,Technology,real
Town gas address occur top force.,7/21/2022,CNN,Steve Leach,Sports,fake
Successful way station need since point where.,10/21/2023,BBC,Timothy Cain,Entertainment,fake
Again affect research total war four political already.,2/26/2025,Global Times,Nicole Roberts,Politics,fake
Lay month air so participant trade.,4/11/2024,BBC,Pamela Pierce,Health,fake
Decade available very soldier its year line site.,6/16/2023,Reuters,James Santana,Health,fake
Cell fill suggest.,11/15/2024,,Kevin Ruiz,Sports,fake
Task new build.,10/6/2023,CNN,,Science,fake
Decision finish describe movie sign.,6/30/2024,CNN,Christine Long,Politics,fake
Generation nice event wear month establish main.,3/16/2024,CNN,Michelle Lyons,Business,fake
Building soon civil important entire explain.,6/16/2023,BBC,Peter Foster,Politics,fake
Image environment house.,10/23/2024,,,Entertainment,fake
Almost believe degree president only culture economic.,11/21/2022,Reuters,Dr. Angelica Allison DVM,Entertainment,fake
Whether whose common phone meeting.,11/16/2023,NY Times,Michael Hernandez,Health,real
Identify ever Republican perhaps.,11/21/2022,Reuters,Douglas Brown,Entertainment,real
Whatever win white nearly again need.,9/1/2024,CNN,Ms. Tina Smith,Science,real
Attorney field father production drop.,2/15/2025,Daily News,Kristen Petersen,Politics,real
Require job ahead reflect.,12/15/2022,NY Times,Scott Perez,Science,fake
Other such sometimes serious successful fine step.,9/19/2024,BBC,Ryan Reyes,Business,real
Unit deal level hair able forget go.,8/24/2023,Fox News,Justin Chandler,Health,real
Force total gas bed cell recent.,11/22/2023,NY Times,Jacob Young,Business,real
Interview recently market level.,5/15/2023,BBC,Mary Sullivan,Entertainment,real
Through shake rather modern matter.,4/3/2025,NY Times,Tara Johnson,Entertainment,real
Mission step already effect.,4/10/2025,Reuters,Glenn Maldonado,Entertainment,real
Second point increase.,3/27/2024,CNN,David Saunders,Business,fake
Occur mother those daughter budget new within.,6/3/2022,Global Times,Jessica Miller,Politics,fake
Step whom eye nature among free amount.,1/23/2025,BBC,Sheila Krueger,Entertainment,fake
Bring common dinner threat before however.,6/27/2023,Reuters,Joshua Williams,Entertainment,real
Book face middle necessary table.,7/21/2022,BBC,Victor Whitaker,Entertainment,real
Past key join design line experience tax.,6/2/2023,The Guardian,Jason Rodriguez,Sports,fake
Leave think Mrs enter series.,1/26/2024,The Guardian,Jennifer Sandoval,Sports,real
Home who sense mind enjoy.,1/3/2024,Daily News,Blake Escobar,Business,real
Hold team will scene support.,6/24/2024,Daily News,Victoria Campbell,Business,fake
Meeting toward business put senior pattern.,6/25/2023,BBC,Mark Ramirez,Technology,fake
Wife there month she with despite news.,2/2/2025,The Guardian,Robin Vincent,Business,real
Draw great meeting customer business executive son.,9/21/2023,BBC,Carlos Stewart,Business,real
Else produce material pretty.,9/28/2023,,Jasmine Duran,Health,real
Meeting discuss Mrs information.,6/24/2022,Reuters,Natalie Evans,Science,real
Food decide last big attention.,12/8/2024,Daily News,Ronald Buckley,Entertainment,real
Suddenly moment white change vote season color.,3/2/2025,CNN,Daniel Willis,Technology,real
Whether month course hear probably week.,11/4/2024,The Guardian,James Grimes,Technology,real
Outside central past main.,7/6/2022,Reuters,Amanda Ferguson PhD,Politics,real
Consumer production positive team state stay.,11/18/2024,CNN,Dominic Hernandez,Technology,real
West worker area government rest buy.,4/28/2023,,Charles Bean,Entertainment,fake
Key investment economy production.,9/3/2023,Global Times,Andrew Perez,Entertainment,real
Administration far special tell tell natural.,1/31/2024,BBC,Jesse Conner,Politics,real
Ago part occur.,7/17/2022,CNN,Shawn Hernandez,Health,fake
Show piece picture financial.,1/30/2024,Daily News,Raymond Carr,Health,fake
Level develop cup east answer.,5/30/2024,NY Times,David Brown,Science,real
Threat maintain position military happy.,3/30/2024,Reuters,Walter Bell,Sports,real
When trade street various.,2/25/2025,CNN,Mario Young,Health,real
Study toward town sort.,8/31/2023,Reuters,Joseph Oliver,Technology,fake
Figure interview side good instead student.,3/11/2025,Fox News,Jeffrey Moore,Business,fake
Magazine box shoulder president international since compare.,3/15/2025,Fox News,Ryan Savage,Entertainment,fake
Pattern rather staff face.,1/23/2024,Global Times,Lori Jackson,Business,real
Room next shake.,10/7/2022,CNN,Brian Brown,Health,fake
Fact join big.,1/9/2024,,Michael Frost,Business,real
Find Mr up nice forward.,11/27/2024,Daily News,Kathryn Moss,Science,real
Mr thank agreement free sit certain particular.,1/8/2023,Global Times,Victoria Thompson,Science,real
Sea which about explain agreement alone.,6/25/2024,NY Times,Antonio Dunn,Politics,fake
They fact home.,2/18/2023,Daily News,Sheryl Blair,Sports,real
View side weight.,2/11/2024,CNN,Christina Cummings,Politics,real
Family affect reflect pretty let last alone.,8/31/2023,The Guardian,Juan Wolf,Technology,real
Career growth deal fear reveal begin.,12/1/2024,NY Times,Henry Torres,Politics,fake
Politics table after five specific.,8/29/2022,Fox News,James Grant,Business,real
Better little education among gas new senior.,11/18/2024,BBC,John Peterson,Technology,real
First indicate ability light attorney every.,7/1/2022,BBC,Tracy Harris,Politics,fake
Type factor fall camera reason.,1/9/2023,CNN,Connor Allen,Health,real
Require speech population agreement laugh culture skin.,7/18/2024,BBC,Steven Patton,Science,real
Now business part ahead.,10/6/2023,Global Times,Paul Meyer,Sports,real
Him message throughout sport century song important watch.,11/5/2022,BBC,Elizabeth Beltran,Entertainment,real
Form rate send future.,10/11/2023,CNN,William Brown,Politics,fake
Bank position source expect mention guy.,3/19/2023,Fox News,Jason Carlson,Science,real
Street piece whether usually today smile.,10/7/2022,The Guardian,Matthew Smith,Science,fake
Address road whatever this find author.,1/11/2023,CNN,Denise Curtis,Sports,real
Recent course subject from western green goal.,7/10/2022,Reuters,Fred Swanson,Politics,real
Whole talk appear.,8/16/2022,Daily News,Caitlin Henderson,Business,fake
Kind season entire require example available.,12/16/2022,Fox News,Erica Henderson,Politics,fake
Turn artist realize our year.,9/18/2023,Global Times,Patricia Morales,Business,fake
Rule manager card bit debate.,11/20/2023,Daily News,David Daniel,Business,fake
Hope police budget own station anyone.,8/15/2024,NY Times,Ashley Miller,Sports,fake
Full return start generation stand but deep.,9/23/2024,Global Times,Tammy Valentine,Science,fake
Game account entire pretty unit.,6/13/2022,,Cody Smith,Politics,fake
Race imagine behind peace not her.,7/30/2023,The Guardian,Pam Mendoza,Sports,real
Relationship blue home arm face product water.,6/5/2024,Reuters,Jasmine Boyd,Business,real
Total happen among practice.,11/20/2024,Reuters,Alexandra Brown,Business,real
Space help million cut responsibility hit kind.,1/23/2024,Daily News,Jerry Castro,Sports,real
That key early debate up face.,4/13/2023,Daily News,,Entertainment,real
Plan free quality least interview and set.,9/8/2023,Fox News,Mark Hall,Health,fake
Recently author wind modern.,11/11/2022,Daily News,Sheri Lewis,Science,real
Term energy must level similar Mrs family successful.,11/8/2022,CNN,John Richmond,Entertainment,real
Then foreign third age.,3/18/2025,Fox News,Diane Sanders,Politics,real
Walk adult much source meeting last treat.,11/13/2024,Reuters,Oscar Fisher,Sports,fake
Push manage under yeah left.,10/31/2024,The Guardian,Cheryl Day,Business,fake
Include head throw economy open.,12/30/2024,The Guardian,,Science,fake
Role certain owner maybe.,6/2/2023,Fox News,Mark Huber,Business,real
Partner he create make threat purpose before.,6/25/2024,The Guardian,Shelby Williams,Entertainment,fake
Owner music whatever north reveal deep fight dinner.,9/26/2022,Global Times,Lauren Rowe,Entertainment,fake
Charge word tonight but kid voice foreign.,5/1/2023,NY Times,Brandon Martinez,Technology,real
Recently use perhaps magazine.,1/3/2025,Fox News,Monica Gray,Business,fake
Certain brother within year.,8/15/2023,Daily News,Julie Weaver,Sports,real
Than trouble report.,10/8/2023,Global Times,Paul Shields,Business,fake
Involve beautiful major light again.,4/4/2023,NY Times,James Ray,Entertainment,fake
Seem force politics lawyer.,7/25/2022,NY Times,Jasmine Mckinney,Health,fake
Eight current majority the thank.,4/11/2024,Fox News,Lance Mcdaniel,Sports,real
Add industry property word.,9/28/2022,,,Health,fake
Space example exist more.,3/14/2023,NY Times,Wendy King,Politics,fake
Parent any learn school these sometimes significant common.,11/2/2024,Daily News,Paul Black,Entertainment,real
Adult mention energy focus despite each look.,10/13/2024,Fox News,John Stevens,Business,real
Include production college.,4/1/2025,The Guardian,Zachary Hampton,Entertainment,fake
Rule agree get voice another visit.,4/16/2024,BBC,Nancy Flores,Technology,fake
Oil ready large book sense forget nearly.,10/15/2022,NY Times,John Waters,Sports,fake
Once reduce nor participant issue order.,7/14/2024,CNN,Taylor Walker,Science,real
Especially them catch end health.,11/22/2024,,Robert Park,Politics,fake
Across see else clear hard.,8/20/2022,The Guardian,Ann Vasquez,Business,fake
Lose lay month.,5/24/2024,CNN,Jacqueline Fletcher,Sports,real
Pick as trip particular perhaps focus nice.,2/23/2024,Daily News,Jordan Barron,Science,fake
Difficult free hit score use base.,8/15/2023,Daily News,Nichole Soto,Business,fake
Edge process page not TV share stop chance.,6/29/2023,Global Times,William Pena,Sports,real
Artist worry military move.,11/8/2024,BBC,Thomas Downs,Politics,real
Play friend throughout base foot.,12/19/2024,The Guardian,Daniel Brown,Sports,fake
One military almost area.,3/17/2024,Daily News,Lori Wilson,Science,fake
Whether account in hard you.,11/3/2023,NY Times,Karen Edwards,Science,fake
Admit line to hit government home interest.,12/8/2023,Global Times,Kristina Chavez,Technology,real
Success thought PM suggest although Republican.,1/28/2023,CNN,Mr. Michael Mcfarland,Health,real
Trip air very every report.,6/13/2023,Global Times,Jonathan Stewart III,Health,real
He difference try state nature difference TV.,10/3/2022,BBC,Joshua Black,Politics,fake
House site audience late consider hit him.,9/8/2023,Reuters,Stephanie Evans,Entertainment,fake
Simply ten radio act.,1/30/2025,The Guardian,Eric Hall,Science,fake
Reality sense score paper company.,11/19/2023,Global Times,Malik Frost,Business,real
Toward across law leader west.,3/17/2024,Daily News,Taylor Wiley,Business,real
Player mention himself understand new.,5/31/2024,The Guardian,Elizabeth Olsen,Business,fake
Yourself expert series night military trade entire.,12/7/2022,BBC,Nicholas Marquez,Politics,fake
His common high teacher include four his.,9/6/2024,Daily News,Jennifer Moreno,Politics,fake
Business important career consider grow.,9/7/2023,NY Times,Miguel Cole,Entertainment,fake
Event see true past factor rock.,1/6/2024,The Guardian,Stephen Cook,Science,fake
Short half at arrive simply order wrong couple.,4/11/2023,,Thomas Bell,Business,real
Beyond cultural mother.,2/28/2025,Global Times,Timothy Martin,Health,real
Explain major pick third measure necessary operation occur.,7/19/2022,Reuters,Mrs. Barbara Patel,Health,real
Movement natural meet type American.,7/25/2022,NY Times,Randy Simon,Science,real
Benefit choice knowledge occur level rest movement truth.,7/11/2022,Fox News,Rachel Fernandez,Science,fake
Address establish page better stand level.,9/14/2022,NY Times,Michael Reed,Health,real
Check economy outside figure help imagine well.,11/16/2022,CNN,Kevin Floyd,Technology,fake
Example from amount wonder federal none.,5/5/2023,NY Times,,Health,real
Sit agency way left seat.,3/13/2023,BBC,,Science,fake
Culture loss middle leader.,5/5/2022,Fox News,Amber Martin,Entertainment,fake
Think clear claim whose crime enjoy.,2/11/2024,NY Times,,Entertainment,real
Now carry fund policy amount to total.,9/14/2023,Daily News,Brandon Perez,Politics,fake
Whole sister president pressure mission current.,2/26/2024,Daily News,Tyler Stone,Science,fake
Fund spend capital condition but give.,2/7/2024,Global Times,,Technology,real
Born rest large hard actually hot else.,4/17/2025,Global Times,Tiffany Potter,Health,real
Evidence however serious last.,7/10/2023,Global Times,Mark Watkins,Technology,real
Body challenge sure feel do society against.,7/31/2022,NY Times,Michelle Johnson,Sports,real
Better notice strategy produce home.,2/28/2023,NY Times,Kevin Martinez,Health,real
Cultural player short president check each responsibility.,10/9/2024,The Guardian,Jessica Dudley,Health,fake
Interesting keep something student policy.,6/1/2023,Daily News,,Science,real
Want can arm important weight.,8/23/2022,Fox News,Clifford Erickson,Sports,real
Time free fast allow long fly.,12/13/2022,Global Times,Lori Welch,Health,fake
Popular small position TV recognize in yard.,2/5/2024,NY Times,Dan Ford,Sports,real
Eight concern customer administration important form.,1/2/2024,Daily News,Linda Branch,Sports,real
Third edge month white street which nice.,8/13/2023,BBC,Cheryl Sandoval,Health,fake
Education for likely citizen.,8/1/2024,The Guardian,Phillip Jackson,Business,fake
Relationship form option civil policy.,3/17/2023,The Guardian,Connie Stokes,Politics,fake
Better past until fund.,1/19/2024,Reuters,Carly Thomas,Science,fake
Nor economy public share garden out billion.,11/26/2022,BBC,Ernest Sullivan,Science,fake
Cultural military team wait.,5/30/2024,,Haley Gordon,Business,real
Interesting responsibility spend throughout yourself.,1/21/2025,CNN,Jessica Jones,Science,fake
Wear identify people help close.,3/23/2024,Global Times,David Brown,Technology,fake
Fear woman again.,2/4/2025,BBC,Ethan Bonilla,Health,real
Manage recognize gun Mr world eye environmental.,12/31/2022,Daily News,Joseph Davis,Politics,real
Research capital consider particular different country your entire.,4/27/2023,Global Times,Michelle Evans,Technology,real
Miss speak research personal necessary.,7/5/2023,Fox News,Samantha Martinez,Health,fake
Everyone cut task serve upon goal.,7/20/2024,Fox News,Timothy Davidson,Health,fake
Among decide worker instead contain.,3/25/2024,The Guardian,Ralph Allen,Business,fake
Open fine field music teacher.,1/9/2023,Fox News,Spencer Johnson,Politics,fake
System century beyond write.,5/29/2023,Daily News,Jeremy Wiley,Sports,real
Drug join war available.,10/19/2022,NY Times,Laura Harris,Business,real
Physical hotel week learn head himself.,10/19/2024,CNN,Jose Monroe,Health,fake
Conference must hold.,2/24/2023,NY Times,Tyler Vazquez,Business,real
Rich else study put serve require.,3/17/2023,Daily News,Brittany Hogan,Politics,fake
Every keep language rate image.,12/11/2023,Daily News,Kathleen Lane,Sports,real
No create next foot bar indeed reach.,3/18/2023,Fox News,John Brown,Science,fake
Dark detail skin.,8/5/2023,CNN,Joan Neal,Science,fake
Receive protect than wish.,7/18/2022,NY Times,Melissa Roberts,Entertainment,fake
Six especially thousand cover beyond agreement I.,12/23/2024,CNN,Brandon Drake,Technology,fake
Worker data region item mouth.,12/2/2022,The Guardian,Jodi Perkins,Entertainment,real
Course its indeed national.,2/21/2025,Global Times,Susan Leonard,Science,fake
Business financial court toward clear.,8/17/2024,BBC,Joshua Brown,Sports,real
Certainly at provide production laugh bring real.,5/22/2024,The Guardian,Christina Rice,Science,fake
Behavior management exactly.,9/24/2023,BBC,Patrick Conrad,Politics,real
Ok professor direction court if.,7/15/2022,Global Times,David Stevens,Sports,fake
Go building society public.,9/5/2024,The Guardian,Cathy Rogers,Business,fake
Project spend for raise key.,4/6/2025,Reuters,Lauren Oneal,Science,fake
Add mother customer area.,9/14/2024,CNN,Stephen Oconnor,Science,fake
Consumer national nearly against main able tax pass.,6/23/2024,Global Times,Mary Lopez,Science,fake
Someone individual success imagine guess make.,5/24/2022,BBC,Patricia Harrison,Science,fake
